name,calories,portion,unite
Abats en sauce,290,100,gramme
Ablette,144,100,gramme
Abondance (tomme),402,100,gramme
Abricot (au sirop),63,100,gramme
Abricot (compote sucrée),165,100,gramme
Abricot (non sucrée),119,100,gramme
Abricot jus,60,100,gramme
Abricot sec Maître prunille,172,100,gramme
Abricot sec (monoprix gourmet),294,100,gramme
Abricot secs (sunny glade chez lidl),158,100,gramme
"Abricot, cru",45,100,gramme
"Abricots au sirop, douceur du verger Leclerc marque repère",69,100,gramme
Abricots moelleux Casino,249,100,gramme
Abricots moelleux Amora,172,100,gramme
Abricots moelleux sans sucre ajouté Sun-time,256,100,gramme
Abricots secs,272,100,gramme
Abricots secs Maître prunille,172,100,gramme
Abricots secs 'kyrielle' Netto,285,100,gramme
Abricots secs (champion),216,100,gramme
Abricots secs de malatya 'casino' Casino,265,100,gramme
Abricots secs golden fruit Aldi,247,1,paquet
Accras de morue claude léger (intermarché),251,100,gramme
Accras de morue claude léger (intermarché) : par pièce de 15g,37,100,gramme
"Accras de morue, kim tan Sodebo",193,100,gramme
Ace-the Carrefour light,100,1,verre
Achards de légumes le coq noir pot de 340gr,291,100,gramme
"Acidulés fruits, confiserie du domaine Leclerc marque repère",382,100,gramme
Acras de morue (moyenne),228,100,gramme
Acras de morue servifrais,206,100,gramme
"Actifidus ""délisse"" saveur vanille",90,100,gramme
Actifidus 'délisse' saveur vanille,111,1,pot
Actifidus nature Leclerc marque repère,78,1,pot
Actiform (boisson fruits mixés) champion,55,100,gramme
"Actiform fruits mixés ""ananas coco"" (champion)",55,100,gramme
"Actiform fruits mixés ""pèche mangue"" (champion)",51,100,gramme
Actimel (0% fruits rouges) Danone,29,100,gramme
Actimel (0% nature) Danone,28,100,gramme
Actimel 0 % saveur fruits rouges Danone,29,100,gramme
Actimel 0% ananas Danone,32,100,gramme
Actimel fraise Danone,85,100,gramme
Actimel multrifruits Danone,76,100,gramme
Actimel nature Danone,80,100,gramme
Actimel orange Danone,80,100,gramme
Actimel pêche gelée royale Danone,76,100,gramme
Actimel Saveur pêche-gelée royale,76,100,gramme
Actimel vanille Danone,88,100,gramme
Actimle multifruits,85,100,gramme
Active sandwich Lidl,264,100,gramme
Activia 0% ananas Danone,64,1,pot
Activia 0% fraise Activia,64,1,pot
Activia 0% framboises Activia,65,125,gramme
Activia 2 céréales Activia,114,100,gramme
Activia abricots Danone,96,100,gramme
Activia au fromage blanc à la fraise,110,100,gramme
Activia au fromage blanc à la fraise : par pot de 125g,137,100,gramme
Activia au fromage blanc à la pêche,112,100,gramme
Activia au fromage blanc à la pêche : par pot de 125 g,140,100,gramme
Activia aux fruits 0% Activia,52,100,gramme
Activia cerise 0% mat. grasses 0% sucres ajoutés Activia,55,100,gramme
Activia fruits Danone,96,100,gramme
Activia maigre de danone ( pot de 125 gr),47,100,gramme
Activia nature au bifidus (100g) (danone),62,100,gramme
Activia nature au bifidus (125g pot) (danone),78,100,gramme
Activia pêche 0% mg 0% sucres ajoutés Activia,49,100,gramme
activia recette à la crème,71,100,gramme
activia recette au fromage blanc,71,100,gramme
Activia saveur framboise Activia,120,1,pot
Activia saveur noix de coco Danone,96,100,gramme
Activia saveur vanille Activia,96,100,gramme
Activia vanille,120,100,gramme
Affligem (fromage),353,100,gramme
Afrika noir Bahlsen,519,100,gramme
After Eight,423,100,gramme
After eight menthe Nestlé,35,1,unité
After eight mint,423,100,gramme
After eight orange,419,100,gramme
After eight orange : par feuille,35,100,gramme
After eight par feuille,35,100,gramme
Agneau,280,100,gramme
Agneau (carré),209,100,gramme
Agneau (cervelle),112,100,gramme
Agneau (collier),234,100,gramme
Agneau (côtelettes),330,100,gramme
Agneau (épaule maigre),191,100,gramme
Agneau (filet),114,100,gramme
Agneau (foie),132,100,gramme
Agneau (gigot),250,100,gramme
Agneau (rognons),87,100,gramme
Agneau (selle),250,100,gramme
Agneau légumes grillés semoule Fleury michon,452,1,paquet
agneau navarin collier,234,100,gramme
agneau selle rôtie,221,100,gramme
Aiguilette de poulet - citron et thym Le Gaulois,147,1,paquet
Aiguilettes de volaille à la normande et tagliatelles,155,100,gramme
Aiguillades de jambon au poivre madrange,124,100,gramme
Aiguillades de jambon au poivre madrange : par tranche de 20g,24,100,gramme
Aiguillette de boeuf,200,100,gramme
Aiguillettes de poulet Le Gaulois,102,100,gramme
Aiguillettes de poulet aux légumes 280g,253,100,gramme
Aiguillettes de poulet et pennes à l'italienne Claude léger,242,1,portion
Aiguillettes de poulet marinées au citron Picard,142,1,paquet
Aiguillettes de poulet marinées thym-citron père dodu,118,100,gramme
Aiguillettes de poulet père dodu,102,100,gramme
Ail,138,100,gramme
Ail & fines herbes Boursin,405,100,gramme
"Ail finement haché surgelé, rustica Leclerc marque repère",76,100,gramme
"Aile de raie ""poisson""",91,100,gramme
AILES DE RAIE produit congelé SILVER SEA pq d'1Kg,71,100,gramme
Ailladou 7% mg Casino,134,100,gramme
Ailladou fromage allégé à tartiner Ondilège,134,100,gramme
Ailladou fromage allégé à tartiner Ondilège,24,1,portion
AÎoli huile olive,722,100,gramme
Airelle,25,100,gramme
Airelles,25,100,gramme
Alcool (1 gramme),7,100,gramme
All bran mini breaks cannelle,96,1,portion
All' bran chocolat,382,100,gramme
All'bran fique & pomme kellogg's,318,100,gramme
All-bran chocolat Kellogg's,354,100,gramme
All-bran fibre + Kellogg's,280,100,gramme
All-bran fibre plus Kellogg's,280,100,gramme
All-bran figue & pomme Kellogg's,327,100,gramme
All-bran fruit'n fibre Kellogg's,358,100,gramme
