name,calories,portion,unite
Aarts ananas light,32,100,gramme
Abatilles (eau minérale naturelle),0,100,ml
Abats de poulets à bouillir mijotés,194,100,gramme
Abats en sauce,290,100,gramme
Abiyuch (1 fruit),83,1,unité
Abiyuch cru,69,100,gramme
Abiyuch cru (1/5 tasse),33,1,portion
Ablette,144,100,gramme
Abondance de savoie,402,100,gramme
Abricot,44,100,gramme
Abricot (1 tasse en tranches),33,100,ml
Abricot (1 tasse moitiés),31,100,ml
Abricot (au sirop),63,100,gramme
Abricot (compote non sucrée),119,100,gramme
Abricot (compote sucrée),165,100,gramme
Abricot (portion raisonnable/semaine),50,1,portion
Abricot au sirop en conserve,90,1,portion
Abricot congelé et sucré,98,100,gramme
Abricot des antilles cru (1 fruit),431,1,unité
"Abricot des antilles, cru (1/8 fruit)",54,1,portion
Abricot en entier pelé en conserve dans du sirop extra épais,96,100,gramme
Abricot frais,14,1,unité
Abricot jus,60,100,ml
Abricot moelleux dia,226,100,gramme
Abricot sec,200,100,gramme
Abricot sec (monoprix gourmet),294,100,gramme
Abricot sec 1 unité,16,1,unité
"Abricot seché, sulfuré et cuit sans sucre",85,100,gramme
Abricots moelleux 'casino',249,100,gramme
Abricots secs,246,100,gramme
Abricots secs lidl,158,100,gramme
Abricots secs 'kyrielle',285,100,gramme
Abricots secs 'kyrielle',285,100,gramme
Accras de morue claude léger,251,100,gramme
Accras de morue claude léger (intermarché) : par pièce de 15g,37,1,unité
Ace fruit drink,52,100,ml
Ace p'tit déj vitamines (auchan),48,100,ml
Achards de légumes,291,100,gramme
Achi corn,108,100,gramme
Acitivia au miel,94,100,gramme
Acivia brassé nature,67,100,gramme
Acm 20,371,100,gramme
Acras de morue (cora - par 12),298,100,gramme
Acras de morue de marque servifrais,206,100,gramme
Acras de morus servifrais,206,100,gramme
Actifidus marque repère,60,100,gramme
Actifrais bel,134,1,pot
Actilife wellness crisp blé complet,346,100,gramme
Actimel (0% nature),28,100,gramme
Actimel 0 % saveur fruits rouges,29,100,ml
Actimel 0% ananas,32,100,gramme
Actimel 0% ananas de danone,28,100,gramme
Actimel 0% fruits rouges,28,100,gramme
Actimel 0% nature de danone,28,100,gramme
Actimel au gout de fraise,85,100,gramme
Actimel au gout orange,85,100,gramme
Actimel danone-nature sucré,72,100,gramme
Actimel danone-saveur multifruit,75,100,gramme
Actimel danone-saveur vanille,75,100,gramme
Actimel fraise,85,100,ml
Actimel multifruits de danone,85,100,gramme
Actimel nature,80,100,ml
Actimel nature sucré,83,100,gramme
Actimel orange,80,100,gramme
Actimel saveur fruits rouges 0%mg,29,100,gramme
Actimel vanille,88,100,gramme
Active drink protéine vanille,111.2,100,ml
Active drink protéine vanille (250ml),278,1,canette
Active power - power weight gain choco,377,100,gramme
Active power bcaa powder,386,100,gramme
Active power power carbo plex,400,100,gramme
Active power power protein 80 saveur coco,377,100,gramme
Active power power protein 80 saveur vanille,382,100,gramme
Active power whey protein isolat 100,377,100,gramme
Active pro saveur chocolat,352,100,gramme
Activia 0 % ananas,55,100,gramme
Activia 0% fraises 0% sucres ajoutés,51,100,gramme
Activia 0% mangue,65,1,pot
Activia à la mangue de danone,138,1,pot
Activia a la rhubarbe,93,100,gramme
Activia à verser,50,100,ml
Activia abricots,96,100,gramme
Activia au citron de danone,119,1,pot
Activia au fromage blanc à la fraise,110,100,gramme
Activia au fromage blanc à la fraise : par pot de 125g,137,100,gramme
Activia au fromage blanc à la pêche,112,100,gramme
Activia au fromage blanc à la pêche : par pot de 125 g,140,100,gramme
Activia au fromage blanc-fraise de danone,138,1,pot
Activia au fromage blanc-peche de danone,141,1,pot
Activia au muesli de danone,136,1,pot
Activia aux 2 cereales de danone,136,1,pot
Activia aux blé complet de danone,136,1,pot
Activia aux cranberries,93,100,gramme
Activia aux figues,100,100,gramme
Activia aux fruits de danone,130,1,pot
Activia aux kiwis de danone,128,1,pot
Activia aux peches blanches de danone,123,1,pot
Activia aux pruneaux de danone,129,100,gramme
Activia céréales et blé complet de danone,132,1,pot
Activia coco de danone,119,1,pot
Activia datte de danone,138,1,pot
Activia de danone au bifidus actif nature,68,100,gramme
Activia Éclats de noix céréales,117,100,gramme
Activia framboise 0 %,52,100,gramme
Activia fruits,96,100,gramme
Activia fruits ananas,118,1,pot
Activia fruits des bois 0%,53,100,gramme
Activia fruits secs,118,1,pot
Activia gout vanille de danone,119,1,pot
Activia nature 0 %,45,100,gramme
Activia nature danone,62,100,gramme
Activia nature de danone,83,1,pot
Activia nature et brassé de danone,90,1,pot
Activia poire céréale,107,100,gramme
Activia rhubarbe,94,100,gramme
Activia saveur framboise,96,100,gramme
Activia sur lit de fruits de danone,119,1,pot
Adzuki,361,100,gramme
Affligem,353,100,gramme
After eight,418.6,100,gramme
